fitness_func,selection,xo,xo_prob,mutation,mut_prob,run,generation,fitness,final nutrients diff,food variety,Additional info,pop
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,77,17361.6,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,78,16594.0,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,79,16594.0,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,80,15662.0,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,81,15129.7,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,82,15129.7,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,83,15129.7,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,84,15129.7,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,85,14328.3,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,86,13862.4,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,87,13726.8,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,88,13693.3,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,89,13693.3,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,90,13452.7,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,91,13137.9,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
