fitness_func,selection,xo,xo_prob,mutation,mut_prob,run,generation,fitness,final nutrients diff,food variety,Additional info
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,52,5152.299999999999,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,53,5130.4,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,54,5051.599999999999,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,55,4930.4,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,56,4673.499999999999,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,57,4576.3,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,58,4371.999999999999,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,59,4092.3,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,60,4092.3,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,61,4003.9,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,62,3819.9,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,63,3735.3,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,64,3634.5,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,65,3420.5999999999995,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,66,3328.2999999999997,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,67,3262.2999999999997,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,68,3118.899999999999,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,69,3028.2999999999997,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,70,2886.4999999999995,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,71,2785.5999999999995,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,72,2639.8,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,73,2569.5999999999995,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,74,2526.8,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,75,2481.7,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,76,2388.7,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,77,2339.6,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,78,2306.8,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,79,2217.3,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,80,2156.4,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,81,2109.0999999999995,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,82,2017.9,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,83,2002.7,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,84,1959.5,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,85,1922.9,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,86,1851.5,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,87,1795.4,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,88,1795.4,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,89,1770.0000000000002,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,90,1668.0,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,91,1668.0,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,92,1633.1,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,93,1572.6,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,94,1512.1,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,95,1438.3,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,96,1438.3,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,97,1408.2,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,98,1385.8,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,99,1371.7,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,100,1363.7999999999995,"[437.5000000000002, 21962.0, 24.900000000000034, 11059.0, 1444.6999999999998, 489.5999999999999, 1.2999999999999545, 1624.0, 1903.0]",52.0,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,1,51362.3,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,2,51362.3,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,3,48843.60000000001,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,4,44368.6,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,5,41476.3,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,6,39383.8,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,7,37289.99999999999,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,8,32145.699999999997,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,9,29640.89999999999,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,10,29615.099999999995,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,11,27470.399999999998,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,12,25788.69999999999,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,13,24431.3,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,14,23202.299999999992,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,15,22608.89999999999,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,16,20483.999999999996,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,17,19127.099999999995,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,18,18773.8,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,19,18315.3,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,20,17290.0,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,21,16466.6,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,22,16079.3,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,23,14838.4,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,24,14565.500000000002,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,25,13730.500000000004,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
