fitness_func,selection,xo,xo_prob,mutation,mut_prob,run,generation,fitness,final nutrients diff,food variety
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,1,93,204616589.09999993,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,1,94,201668551.59999993,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,1,95,179767403.3,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,1,96,174208771.4,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,1,97,173998262.3,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,1,98,166364757.9,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,1,99,166244007.0,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,1,100,161053280.0,"[9637.699999999997, 54539.0, 395.0999999999999, 20245.0, 12359.4, 1466.5, 1694.7000000000003, 21505.0, 39189.0]",50.0
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,2,1,2005808865.8,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,2,2,1906708288.1,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,2,3,1790669169.7,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,2,4,1777667272.1,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,2,5,1737054621.0,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,2,6,1737054621.0,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,2,7,1615728975.4,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,2,8,1495842515.7,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,2,9,1410792906.6,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,2,10,1410792906.6,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,2,11,1399774419.7,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,2,12,1358507585.0,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,2,13,1322209946.0,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,2,14,1281915440.5,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,2,15,1230790104.1999998,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,2,16,1224796367.4,,
